ID_2,NAME_2,LATITUDE,LONGITUDE,TAXONOMY,GEM_TAXONOMY,AFFECTED_UNITS,DAMAGED_UNITS,D0,D1,D2,D3,D4,D5,TOTAL,No damage,Negligible to slight,Moderately,Highly,Completely,DS1_SLIGHT,DS2_MODERATE_DAMAGED,DS3_EXTENSIVE,DS4_COMPLETE,DS5_COLLAPSE,UNIT_TYPES,CAUSE_OF_DAMAGE,REFERENCE,COMMENTS,
,Montegallo,42.840129,13.331888,URM-T,,,,1,3,2,4,2,0,12,,,,,,3,2,4,2,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Montegallo,42.840129,13.331888,URM-RC,,,,0,0,3,3,0,0,6,,,,,,0,3,3,0,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Montegallo,42.840129,13.331888,RC-F,,,,0,1,1,0,0,0,2,,,,,,1,1,0,0,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pescara del Tronto,42.750383,13.269955,URM-T,,,,0,0,0,4,1,3,8,,,,,,0,0,4,1,3,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pescara del Tronto,42.750383,13.269955,URM-RC,,,,0,0,0,0,0,2,2,,,,,,0,0,0,0,2,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Pescara del Tronto,42.750383,13.269955,RC-F,,,,0,0,0,1,0,0,1,,,,,,0,0,1,0,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Saletta,42.671107,13.27248,URM-T,,,,0,0,0,0,3,6,9,,,,,,0,0,0,3,6,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Saletta,42.671107,13.27248,URM-RC,,,,0,0,0,7,2,0,9,,,,,,0,0,7,2,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Saletta,42.671107,13.27248,RC-F,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Villa San Lorenzo Flaviano ,42.665202,13.286911,URM-T,,,,0,0,0,3,8,5,16,,,,,,0,0,3,8,5,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Villa San Lorenzo Flaviano ,42.665202,13.286911,URM-RC,,,,1,0,0,1,0,0,2,,,,,,0,0,1,0,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Villa San Lorenzo Flaviano ,42.665202,13.286911,RC-F,,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Voceto,42.634324,13.324439,URM-T,,,,3,1,2,4,2,0,12,,,,,,1,2,4,2,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Timber floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Voceto,42.634324,13.324439,URM-RC,,,,0,0,0,1,0,0,1,,,,,,0,0,1,0,0,Buildings,Shaking,CEQID/GEER,Unreinforced masonry with Reinforced Concrete floors and roof,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
,Voceto,42.634324,13.324439,RC-F,,,,1,0,0,1,0,0,2,,,,,,0,0,1,0,0,Buildings,Shaking,CEQID/GEER,Reinforced concrete frame,Slight: D1; Moderate: D2; Extensive: D3; Complete: D4; Collapse: D5.
